Codigo;Descripción;Producto;Des. Producto;Des. Familia
012KP3NL;TASKALFA 820;1T02KP0NL0;TK-665;CONSUMIBLES B/N
012KR3NL;TASKALFA 420I;1T02KR0NL0;TK-725;CONSUMIBLES B/N
012KS3NL;TASKALFA 520i;1T02KR0NL0;TK-725;CONSUMIBLES B/N
012L33NL;FS-6525MFP;1T02K30NL0;TK-475;CONSUMIBLES B/N
012LL3NL;TASKALFA 3500I;1902LC0UN0;WT-860;CONSUMIBLES B/N
012LL3NL;TASKALFA 3500I;1T02LH0NL0;TK-6305;CONSUMIBLES B/N
012LL3NL;TASKALFA 3500I;1T02LH0NL1;TK-6305;CONSUMIBLES B/N
012LZ3NL;FS-1320D;1T02LZ0NLC;TK-170;CONSUMIBLES B/N
012MF3NL;FS-3040MFP;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
012MF3NL;FS-3040MFP;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
012MG3NL;FS-3140MFP;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
012MG3NL;FS-3140MFP;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
022DA513;KM-2050;370AM010;TK-410;CONSUMIBLES B/N
022DB513;KM-1650;370AM010;TK-410;CONSUMIBLES B/N
022DC513;KM-1500;370PU5KW;TK-100;CONSUMIBLES B/N
022FT513;KM-2550;370AR010;TK-420;CONSUMIBLES B/N
042FY0KM;FS-3820N;370QD0KX;TK-65;CONSUMIBLES B/N
1102G13NL0;FS-9530DN;1T02G10EU0;TK-710;CONSUMIBLES B/N
1102G53NL0;FS-1116MFP;1T02FV0DE0;TK-110;CONSUMIBLES B/N
1102G53NL0;FS-1116MFP;1T02FV0DE1;TK-110E;CONSUMIBLES B/N
1102GZ3NL1;FS-9130DN;1T02G10EU0;TK-710;CONSUMIBLES B/N
1102H03EU0;FS-C5400DN;1T02HG0EU0;TK-570K;CONSUMIBLES B/N
1102H03EU0;FS-C5400DN;1T02HGAEU0;TK-570Y;CONSUMIBLES COLOR
1102H03EU0;FS-C5400DN;1T02HGBEU0;TK-570M;CONSUMIBLES COLOR
1102H03EU0;FS-C5400DN;1T02HGCEU0;TK-570C;CONSUMIBLES COLOR
1102H03NL0;KM-2560;1T02H00EU0;TK-675;CONSUMIBLES B/N
1102HP3NL0;FS-C8100DN;1T02HP0EU0;TK-820K;CONSUMIBLES COLOR
1102HP3NL0;FS-C8100DN;1T02HPAEU0;TK-820Y;CONSUMIBLES COLOR
1102HP3NL0;FS-C8100DN;1T02HPBEU0;TK-820M;CONSUMIBLES COLOR
1102HP3NL0;FS-C8100DN;1T02HPCEU0;TK-820C;CONSUMIBLES COLOR
1102J03EU0;FS-2020D;1T02J00EU0;TK-340;CONSUMIBLES B/N
1102J03EU0;FS-2020D;1T02J00EUC;TK-340;CONSUMIBLES B/N
1102J13EU0;FS-3920DN;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102J13EU0;FS-3920DN;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
1102J23EU0;FS-4020DN;1T02J20EU0;TK-360;CONSUMIBLES B/N
1102J23EU0;FS-4020DN;1T02J20EUC;TK-360;CONSUMIBLES B/N
1102J23EU0;FS-4020DN;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102J53EU0;FS-6970DN;1T02J50EU0;TK-450;CONSUMIBLES B/N
1102JZ3NL0;TASKalfa 250CI;1T02JZ0EU0;TK-865K;CONSUMIBLES B/N
1102JZ3NL0;TASKalfa 250CI;1T02JZAEU0;TK-865Y;CONSUMIBLES COLOR
1102JZ3NL0;TASKalfa 250CI;1T02JZBEU0;TK-865M;CONSUMIBLES COLOR
1102JZ3NL0;TASKalfa 250CI;1T02JZCEU0;TK-865C;CONSUMIBLES COLOR
